arm,trial,scenario,lang,intent,scored,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_trustworthy,ttfa_ms_all,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,n_turns_expected,session_s,error
vl-gpt41mini-dns,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.5,0,"last_name,first_name",,0,0,0,1,0,,1,1425.9;1658.0;1622.6;1690.5,1658.0,0,0,,,4,4,24.6,
vl-gpt41mini-dns,2,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1,1491.1;1653.8;2067.1,1653.8,1,0,,0,3,4,45.2,
native-gpt-realtime-2,2,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,2785.8;2306.5;2304.5,2306.5,0,0,,,3,3,20.5,
native-gpt-realtime-2,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1,1476.1;2190.5;1737.2;1848.9,1848.9,0,0,,,5,4,30.0,
native-gpt-realtime-2,2,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,0,1708.0;2501.0;2212.9,2212.9,1,0,,0,3,4,48.0,
vl-gpt41mini,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,1310.3;1190.8,1310.3,0,0,,,2,3,39.6,
vl-gpt41mini,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1,1221.5;1807.2;1198.5;1432.6,1432.6,0,0,,,4,4,22.9,
vl-gpt41mini,3,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1,1597.3;1384.5;1445.7,1445.7,1,0,,0,3,4,44.5,
vl-gpt41mini-dns,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,,0,3,3,1,0,,1,1305.6;1350.8;1219.8,1305.6,0,0,,,3,3,16.2,
vl-gpt41mini-dns,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.5,0,"last_name,first_name",,0,0,0,1,0,,1,1394.7;2166.0;1263.8;1267.5,1394.7,0,0,,,4,4,23.1,
vl-gpt41mini-dns,3,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1378.6;1586.4;1792.6,1586.4,1,0,,1,3,4,44.8,
native-gpt-realtime-2,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,2601.2;1795.6;1973.1,1973.1,0,0,,,3,3,18.7,
native-gpt-realtime-2,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,1.0,1,,,0,0,0,1,0,,1,2974.2;1701.0;1831.6;2334.6,2334.6,0,0,,,5,4,31.9,
native-gpt-realtime-2,3,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,0,1936.8;2072.8;2388.6,2072.8,1,0,,1,4,4,47.7,
vl-native-brain,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,,0,3,3,1,0,,1,2450.1;2408.2;1827.5,2408.2,0,0,,,3,3,18.1,
vl-native-brain,1,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,1.0,1,,,0,0,0,1,0,,1,3721.9;3263.4;2499.4;1933.1,3263.4,0,0,,,5,4,29.7,
vl-native-brain,1,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,2359.8;2446.0;2240.8;1961.9,2359.8,1,0,,1,4,4,24.5,
vl-gpt41mini-semvad,1,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,1405.7;1128.8,1405.7,0,0,,,2,3,39.3,
vl-gpt41mini-semvad,1,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1,1229.6;2099.2;1493.3;1299.3,1493.3,0,0,,,4,4,24.2,
vl-gpt41mini-semvad,1,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1171.3;1185.2;1148.5,1171.3,1,0,,1,3,4,43.5,
vl-native-brain,2,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,2919.5;2131.0,2919.5,0,0,,,2,3,41.7,
vl-native-brain,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,1.0,1,,,0,0,0,1,0,,1,3474.1;3412.7;2770.7;2319.8,3412.7,0,0,,,4,4,30.0,
vl-native-brain,2,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1,2916.8;2149.2;2395.3,2395.3,1,0,,0,4,4,47.5,
vl-gpt41mini-semvad,2,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,1186.9;1177.1,1186.9,0,0,,,2,3,39.1,
vl-gpt41mini-semvad,2,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1310.5;1274.3;1378.3,1310.5,0,0,,,3,4,46.1,
vl-gpt41mini-semvad,2,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1057.1;1269.4;1387.0,1269.4,1,0,74.4,1,3,4,44.7,
vl-native-brain,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,2424.0;2313.6;2104.3,2313.6,0,0,,,3,3,18.5,
vl-native-brain,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1,2931.7;3728.5;3018.8;2369.7,3018.8,0,0,,,4,4,30.2,
vl-native-brain,3,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1,2412.2;2439.5;2568.5,2439.5,1,0,,0,4,4,48.8,
vl-gpt41mini-semvad,3,hours-en-01,en_US,grounded_qa,1,0,,,,,,,end_call,1,3,3,1,0,,1,1103.3;1493.9,1493.9,0,0,,,2,3,39.4,
vl-gpt41mini-semvad,3,reschedule-en-01,en_US,reschedule,1,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1,1281.7;2102.9;1135.3;1157.1,1281.7,0,0,,,4,4,23.2,
vl-gpt41mini-semvad,3,bargein-en-01,en_US,book_appointment,0,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1,1131.6;1253.0;1599.1,1253.0,1,0,,0,3,4,44.1,
vl-gpt41mini,1,book-en-01,en_US,book_appointment,1,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1,1266.0;1307.3;1232.8;1215.1,1266.0,0,0,,,4,5,54.2,
vl-gpt41mini-dns,1,book-en-01,en_US,book_appointment,1,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1,1292.8;1278.3;1305.4;1915.1,1305.4,0,0,,,4,5,54.9,
vl-gpt41mini-semvad,1,book-en-01,en_US,book_appointment,1,5,0.8,0,first_name,0.4,0,"last_name,first_name,phone",end_call,1,0,0,1,0,,1,1248.4;1440.5;1265.8;1804.5,1440.5,0,0,,,4,5,54.3,
vl-native-brain,1,book-en-01,en_US,book_appointment,1,5,0.8,0,first_name,1.0,1,,end_call,1,0,0,1,0,,1,2077.7;2498.4;2545.4;2483.5,2498.4,0,0,,,5,5,59.3,
native-gpt-realtime-2,1,book-en-01,en_US,book_appointment,1,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1721.8;2690.9;2349.7;2185.2,2349.7,0,0,,,5,5,61.4,
vl-gpt41mini,2,book-en-01,en_US,book_appointment,1,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1165.4;1188.3;1168.3;1581.0,1188.3,0,0,,,4,5,53.4,
vl-gpt41mini-dns,2,book-en-01,en_US,book_appointment,1,5,1.0,1,,0.8,0,phone,end_call,1,0,0,1,0,,1,1279.4;1352.9;1381.4;2021.9,1381.4,0,0,,,4,5,54.5,
vl-gpt41mini-semvad,2,book-en-01,en_US,book_appointment,1,5,0.8,0,last_name,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1,1157.7;1199.6;1167.0;1756.8,1199.6,0,0,,,4,5,53.6,
vl-native-brain,2,book-en-01,en_US,book_appointment,1,5,0.8,0,first_name,1.0,1,,end_call,1,0,0,1,0,,1,2366.8;2990.3;2213.8;2988.9;2138.0,2366.8,0,0,,,5,5,37.0,
native-gpt-realtime-2,2,book-en-01,en_US,book_appointment,1,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,2232.0;1866.1;1903.2;1762.0,1903.2,0,0,,,5,5,60.0,
vl-gpt41mini,3,book-en-01,en_US,book_appointment,1,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1,1547.6;1337.5;1530.5;1238.3,1530.5,0,0,,,4,5,54.8,
vl-gpt41mini-dns,3,book-en-01,en_US,book_appointment,1,5,1.0,1,,0.6,0,"last_name,phone",end_call,1,0,0,1,0,,1,1248.4;1994.4;1263.7;1891.3,1891.3,0,0,,,4,5,55.6,
vl-gpt41mini-semvad,3,book-en-01,en_US,book_appointment,1,5,0.8,0,last_name,0.8,0,last_name,end_call,1,0,0,1,0,,1,1287.5;1444.3;2015.0;1495.1,1495.1,0,0,,,4,5,55.3,
vl-native-brain,3,book-en-01,en_US,book_appointment,1,5,0.8,0,first_name,1.0,1,,end_call,1,0,0,1,0,,1,2320.8;2181.9;2773.6;2597.8;2010.6,2320.8,0,0,,,5,5,35.5,
native-gpt-realtime-2,3,book-en-01,en_US,book_appointment,1,5,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1722.2;3048.4;2065.3;1876.6,2065.3,0,0,,,5,5,61.1,
vl-gpt41mini,1,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1,1256.4;1238.2;1362.1;1330.8;1288.1,1288.1,0,0,,,5,5,38.2,
vl-gpt41mini,1,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,2,1,0,,1,1554.0;1250.5;1220.5,1250.5,0,0,,,3,3,17.0,
vl-gpt41mini,1,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1119.5;1314.2,1314.2,0,0,,,2,3,39.2,
vl-gpt41mini,1,message-de-01,de_DE,take_message,1,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1,1183.4;1715.7;1358.4,1358.4,0,0,,,3,4,55.6,
vl-gpt41mini,1,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,1380.2;1485.6,1485.6,0,0,,,2,2,16.3,
vl-gpt41mini,1,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,1,1423.0;1509.1,1509.1,1,0,22.3,1,2,2,13.8,
vl-gpt41mini,1,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,end_call,1,1,1,1,0,,1,1623.6;1574.0;1192.5,1574.0,0,0,,,3,3,20.2,
vl-gpt41mini-dns,1,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1,1597.6;1435.6;1589.7;1584.8,1589.7,0,0,,,4,5,62.2,
vl-gpt41mini-dns,1,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,1,0,0,,1,1302.8;1223.3;1339.4,1302.8,0,0,,,3,3,17.0,
vl-gpt41mini-dns,1,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1446.2;1306.8,1446.2,0,0,,,2,3,39.5,
vl-gpt41mini-dns,1,message-de-01,de_DE,take_message,1,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1,1322.1;1519.5;1408.8,1408.8,0,0,,,3,4,55.5,
vl-gpt41mini-dns,1,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,1365.2;1461.3,1461.3,0,0,,,2,2,16.0,
vl-gpt41mini-dns,1,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,1,1490.1;1526.0,1526.0,1,0,,1,2,2,13.8,
vl-gpt41mini-dns,1,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,1267.1;1747.0;1720.8,1720.8,0,0,,,3,3,20.1,
vl-gpt41mini-semvad,1,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1,1297.6;1321.9;1487.6;1396.9,1396.9,0,0,,,4,5,62.1,
vl-gpt41mini-semvad,1,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,1,0,0,,1,1290.4;1314.0;1150.8,1290.4,0,0,,,3,3,17.0,
vl-gpt41mini-semvad,1,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1307.2;1167.3,1307.2,0,0,,,2,3,39.5,
vl-gpt41mini-semvad,1,message-de-01,de_DE,take_message,1,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1,1318.4;1360.9;1416.7,1360.9,0,0,,,3,4,55.4,
vl-gpt41mini-semvad,1,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,1400.4;1527.1,1527.1,0,0,,,2,2,16.2,
vl-gpt41mini-semvad,1,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,0,0,0,,1,1367.9;1431.2,1431.2,1,0,,1,2,2,13.6,
vl-gpt41mini-semvad,1,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,1294.7;1183.5;1317.3,1294.7,0,0,,,3,3,19.0,
vl-native-brain,1,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1,2745.6;3024.9;2208.1;2577.3;2052.4,2577.3,0,0,,,5,5,45.8,
vl-native-brain,1,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,2,2,1,0,,1,2546.6;2365.7;1882.0,2365.7,0,0,,,3,3,20.1,
vl-native-brain,1,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,2337.3;2258.1;1792.0,2258.1,0,0,,,3,3,19.2,
vl-native-brain,1,message-de-01,de_DE,take_message,1,3,1.0,1,,1.0,1,,,0,0,0,1,0,,0,1859.7;-5443.0;2284.7;-1697.2,1859.7,0,0,,,2,4,28.9,
vl-native-brain,1,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,4280.4;2271.5,4280.4,0,0,,,2,2,19.7,
vl-native-brain,1,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,0,0,0,,1,1716.1;1912.5,1912.5,1,0,17.7,1,2,2,14.4,
vl-native-brain,1,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,2239.1;1976.8;1948.6,1976.8,0,0,,,3,3,21.1,
native-gpt-realtime-2,1,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.8,0,first_name,,0,0,0,1,0,,1,2133.7;2794.8;1907.2;1905.3;2067.4,2067.4,0,0,,,6,5,48.2,
native-gpt-realtime-2,1,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,2,2,1,0,,1,3324.9;2735.3;1577.2,2735.3,0,0,,,3,3,22.1,
native-gpt-realtime-2,1,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,2145.2;1868.2;1479.3,1868.2,0,0,,,4,3,20.9,
native-gpt-realtime-2,1,message-de-01,de_DE,take_message,1,3,0.667,0,first_name,0.333,0,"first_name,phone",,0,0,0,1,0,,0,1717.8;-5442.9;1837.4;-1720.5,1717.8,0,0,,,2,4,28.5,
native-gpt-realtime-2,1,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,2619.7;2565.9,2619.7,0,0,,,2,2,22.0,
native-gpt-realtime-2,1,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,0,1935.8;1647.1,1935.8,1,0,285.2,1,2,2,14.8,
native-gpt-realtime-2,1,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,end_call,1,1,1,1,0,,0,1820.5;2152.2,2152.2,0,0,,,2,3,45.5,
vl-gpt41mini,2,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,phone",,0,0,0,1,0,,1,1296.8;1404.9;1386.8;1584.7;1269.3,1386.8,0,0,,,5,5,37.9,
vl-gpt41mini,2,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,1,0,0,,1,1562.8;1296.2;1272.6,1296.2,0,0,,,3,3,17.1,
vl-gpt41mini,2,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1315.0;1747.7,1747.7,0,0,,,2,3,39.9,
vl-gpt41mini,2,message-de-01,de_DE,take_message,1,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1,1228.1;1373.2;1245.6,1245.6,0,0,,,3,4,55.4,
vl-gpt41mini,2,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,1193.9;1957.1,1957.1,0,0,,,2,2,17.9,
vl-gpt41mini,2,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,1,1451.1;1462.8,1462.8,1,0,,1,2,2,13.9,
vl-gpt41mini,2,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,1393.0;1427.7;1293.9,1393.0,0,0,,,3,3,19.5,
vl-gpt41mini-dns,2,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1,1858.1;1370.6;1450.0;1439.0,1450.0,0,0,,,4,5,63.0,
vl-gpt41mini-dns,2,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,1,0,0,,1,1291.0;1501.2;1302.4,1302.4,0,0,,,3,3,18.2,
vl-gpt41mini-dns,2,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1400.9;1303.7,1400.9,0,0,,,2,3,40.1,
vl-gpt41mini-dns,2,message-de-01,de_DE,take_message,1,3,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1,1453.6;1635.9;1699.1,1635.9,0,0,,,3,4,56.8,
vl-gpt41mini-dns,2,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,0,0,0,,1,1537.0;1420.9,1537.0,0,0,,,2,2,16.8,
vl-gpt41mini-dns,2,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,1,1400.2;2650.3,2650.3,1,0,,1,2,2,15.0,
vl-gpt41mini-dns,2,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,1266.0;1548.9;1330.7,1330.7,0,0,,,3,3,19.7,
vl-gpt41mini-semvad,2,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,time_after",end_call,1,0,0,1,0,,1,1807.0;1377.6;1330.2;1851.6,1807.0,0,0,,,4,5,64.6,
vl-gpt41mini-semvad,2,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,1,0,0,,1,1389.6;1318.0;1208.4,1318.0,0,0,,,3,3,17.7,
vl-gpt41mini-semvad,2,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1175.0;1319.7,1319.7,0,0,,,2,3,39.2,
vl-gpt41mini-semvad,2,message-de-01,de_DE,take_message,1,3,1.0,1,,0.667,0,first_name,end_call,1,0,0,1,0,,1,1162.0;1478.4;1381.9,1381.9,0,0,,,3,4,57.9,
vl-gpt41mini-semvad,2,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,1694.4;1735.8,1735.8,0,0,,,2,2,16.1,
vl-gpt41mini-semvad,2,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,1,1489.3;1486.3,1489.3,1,0,,1,2,2,13.5,
vl-gpt41mini-semvad,2,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,1465.2;1285.8;1325.8,1325.8,0,0,,,3,3,19.3,
vl-native-brain,2,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1,2686.1;2895.2;1992.5;2378.4;2147.5,2378.4,0,0,,,5,5,43.5,
vl-native-brain,2,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,2,1,0,,1,2662.6;2288.8;1975.5,2288.8,0,0,,,3,3,20.3,
vl-native-brain,2,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,2255.7;2567.6,2567.6,0,0,,,2,3,42.5,
vl-native-brain,2,message-de-01,de_DE,take_message,1,3,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,0,2262.5;2467.0;2524.5;2063.3,2467.0,0,0,,,4,4,35.9,
vl-native-brain,2,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,4490.8;2478.3,4490.8,0,0,,,2,2,20.0,
vl-native-brain,2,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,0,0,0,,1,2238.8;2061.5,2238.8,1,0,21.9,1,2,2,14.9,
vl-native-brain,2,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,2217.4;2368.1;2173.9,2217.4,0,0,,,3,3,21.9,
native-gpt-realtime-2,2,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1,1495.4;2030.5;2086.8;2395.9,2086.8,0,0,,,5,5,70.3,
native-gpt-realtime-2,2,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,2,2,1,0,,1,2299.7;1911.8;1665.1,1911.8,0,0,,,3,3,20.7,
native-gpt-realtime-2,2,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,2208.2;2546.1;1600.3,2208.2,0,0,,,3,3,21.2,
native-gpt-realtime-2,2,message-de-01,de_DE,take_message,1,3,0.667,0,first_name,0.333,0,"first_name,phone",,0,0,0,1,0,,0,1764.1;-5442.6;2293.7;-1694.6,1764.1,0,0,,,2,4,28.8,
native-gpt-realtime-2,2,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,4148.7;2544.6,4148.7,0,0,,,2,2,23.3,
native-gpt-realtime-2,2,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,0,2110.6;1783.5,2110.6,1,0,257.7,1,2,2,15.2,
native-gpt-realtime-2,2,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1,2221.7;2100.8;2026.9,2100.8,0,0,,,3,3,25.6,
vl-gpt41mini,3,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1,1719.3;1482.8;1454.7;1291.6;1306.8,1454.7,0,0,,,5,5,39.0,
vl-gpt41mini,3,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,2,1,0,,1,1251.7;1310.2;1287.4,1287.4,0,0,,,3,3,17.0,
vl-gpt41mini,3,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,1,1354.3;1290.3,1354.3,0,0,,,2,3,39.5,
vl-gpt41mini,3,message-de-01,de_DE,take_message,1,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1,1652.6;1296.8;1352.1,1352.1,0,0,,,3,4,55.0,
vl-gpt41mini,3,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1,1379.2;1394.2,1394.2,0,0,,,2,2,16.3,
vl-gpt41mini,3,bargein-de-01,de_DE,grounded_qa,0,0,,,,,,,,1,1,1,1,0,,1,1284.1;1559.7,1559.7,1,0,,1,2,2,13.8,
